item_a,item_b,department_a,department_b,basket_count,pair_basket_count,support,confidence_a_to_b,confidence_b_to_a,lift,category_affinity,anchor_item,recommended_item,recommendation_confidence,cross_sell_opportunity
DRY NOODLES/PASTA,PASTA SAUCE,GROCERY,GROCERY,191561,6078,0.031729,0.451661,0.542243,7.718851,DRY NOODLES/PASTA + PASTA SAUCE,PASTA SAUCE,DRY NOODLES/PASTA,0.542243,Recommend DRY NOODLES/PASTA to baskets containing PASTA SAUCE
CHEESES,DELI MEATS,DELI,DELI,191561,6925,0.03615,0.628745,0.417496,7.261293,CHEESES + DELI MEATS,CHEESES,DELI MEATS,0.628745,Recommend DELI MEATS to baskets containing CHEESES
HAIR CARE PRODUCTS,SOAP - LIQUID & BAR,DRUG GM,DRUG GM,191561,1321,0.006896,0.183142,0.240883,6.397297,HAIR CARE PRODUCTS + SOAP - LIQUID & BAR,SOAP - LIQUID & BAR,HAIR CARE PRODUCTS,0.240883,Recommend HAIR CARE PRODUCTS to baskets containing SOAP - LIQUID & BAR
MUSHROOMS,PEPPERS-ALL,PRODUCE,PRODUCE,191561,1118,0.005836,0.243732,0.140452,5.865528,MUSHROOMS + PEPPERS-ALL,MUSHROOMS,PEPPERS-ALL,0.243732,Recommend PEPPERS-ALL to baskets containing MUSHROOMS
ORGANICS FRUIT & VEGETABLES,REFRIGERATED,PRODUCE,NUTRITION,191561,746,0.003894,0.144967,0.153435,5.711645,ORGANICS FRUIT & VEGETABLES + REFRIGERATED,REFRIGERATED,ORGANICS FRUIT & VEGETABLES,0.153435,Recommend ORGANICS FRUIT & VEGETABLES to baskets containing REFRIGERATED
FROZEN BREAD/DOUGH,PASTA SAUCE,GROCERY,GROCERY,191561,2257,0.011782,0.332695,0.201356,5.685726,FROZEN BREAD/DOUGH + PASTA SAUCE,FROZEN BREAD/DOUGH,PASTA SAUCE,0.332695,Recommend PASTA SAUCE to baskets containing FROZEN BREAD/DOUGH
BEANS - CANNED GLASS & MW,DRY SAUCES/GRAVY,GROCERY,GROCERY,191561,1653,0.008629,0.181908,0.268868,5.667944,BEANS - CANNED GLASS & MW + DRY SAUCES/GRAVY,DRY SAUCES/GRAVY,BEANS - CANNED GLASS & MW,0.268868,Recommend BEANS - CANNED GLASS & MW to baskets containing DRY SAUCES/GRAVY
MUSHROOMS,ORGANICS FRUIT & VEGETABLES,PRODUCE,PRODUCE,191561,678,0.003539,0.147809,0.131753,5.502224,MUSHROOMS + ORGANICS FRUIT & VEGETABLES,MUSHROOMS,ORGANICS FRUIT & VEGETABLES,0.147809,Recommend ORGANICS FRUIT & VEGETABLES to baskets containing MUSHROOMS
DISHWASH DETERGENTS,HOUSEHOLD CLEANG NEEDS,GROCERY,GROCERY,191561,1141,0.005956,0.194776,0.166984,5.460494,DISHWASH DETERGENTS + HOUSEHOLD CLEANG NEEDS,DISHWASH DETERGENTS,HOUSEHOLD CLEANG NEEDS,0.194776,Recommend HOUSEHOLD CLEANG NEEDS to baskets containing DISHWASH DETERGENTS
DRY MIX DESSERTS,FROZEN PIE/DESSERTS,GROCERY,GROCERY,191561,897,0.004683,0.173905,0.145877,5.417684,DRY MIX DESSERTS + FROZEN PIE/DESSERTS,DRY MIX DESSERTS,FROZEN PIE/DESSERTS,0.173905,Recommend FROZEN PIE/DESSERTS to baskets containing DRY MIX DESSERTS
BATH TISSUES,PAPER TOWELS,GROCERY,GROCERY,191561,3544,0.018501,0.275027,0.363562,5.404645,BATH TISSUES + PAPER TOWELS,PAPER TOWELS,BATH TISSUES,0.363562,Recommend BATH TISSUES to baskets containing PAPER TOWELS
CHICKEN/POULTRY,PREPARED FOOD,DELI,DELI,191561,581,0.003033,0.111005,0.147462,5.397011,CHICKEN/POULTRY + PREPARED FOOD,PREPARED FOOD,CHICKEN/POULTRY,0.147462,Recommend CHICKEN/POULTRY to baskets containing PREPARED FOOD
DISHWASH DETERGENTS,LAUNDRY DETERGENTS,GROCERY,GROCERY,191561,1272,0.00664,0.217139,0.163812,5.356775,DISHWASH DETERGENTS + LAUNDRY DETERGENTS,DISHWASH DETERGENTS,LAUNDRY DETERGENTS,0.217139,Recommend LAUNDRY DETERGENTS to baskets containing DISHWASH DETERGENTS
ONIONS,PEPPERS-ALL,PRODUCE,PRODUCE,191561,3324,0.017352,0.21942,0.417588,5.280452,ONIONS + PEPPERS-ALL,PEPPERS-ALL,ONIONS,0.417588,Recommend ONIONS to baskets containing PEPPERS-ALL
FACIAL TISS/DNR NAPKIN,PAPER HOUSEWARES,GROCERY,GROCERY,191561,1237,0.006457,0.188452,0.169406,4.943863,FACIAL TISS/DNR NAPKIN + PAPER HOUSEWARES,FACIAL TISS/DNR NAPKIN,PAPER HOUSEWARES,0.188452,Recommend PAPER HOUSEWARES to baskets containing FACIAL TISS/DNR NAPKIN
TOMATOES,VEGETABLES SALAD,PRODUCE,PRODUCE,191561,3989,0.020824,0.2677,0.381796,4.908203,TOMATOES + VEGETABLES SALAD,VEGETABLES SALAD,TOMATOES,0.381796,Recommend TOMATOES to baskets containing VEGETABLES SALAD
PWDR/CRYSTL DRNK MX,SUGARS/SWEETNERS,GROCERY,GROCERY,191561,1249,0.00652,0.250401,0.127762,4.906614,PWDR/CRYSTL DRNK MX + SUGARS/SWEETNERS,PWDR/CRYSTL DRNK MX,SUGARS/SWEETNERS,0.250401,Recommend SUGARS/SWEETNERS to baskets containing PWDR/CRYSTL DRNK MX
HOUSEHOLD CLEANG NEEDS,LAUNDRY DETERGENTS,GROCERY,GROCERY,191561,1342,0.007006,0.1964,0.172827,4.845144,HOUSEHOLD CLEANG NEEDS + LAUNDRY DETERGENTS,HOUSEHOLD CLEANG NEEDS,LAUNDRY DETERGENTS,0.1964,Recommend LAUNDRY DETERGENTS to baskets containing HOUSEHOLD CLEANG NEEDS
PEPPERS-ALL,VEGETABLES - ALL OTHERS,PRODUCE,PRODUCE,191561,3193,0.016668,0.401131,0.200868,4.833983,PEPPERS-ALL + VEGETABLES - ALL OTHERS,PEPPERS-ALL,VEGETABLES - ALL OTHERS,0.401131,Recommend VEGETABLES - ALL OTHERS to baskets containing PEPPERS-ALL
