household_key,total_sales,total_baskets,total_purchase_days,first_purchase_day,last_purchase_day,coupon_discount_abs,deal_discount_abs,coupon_sales,deal_sales,coupon_baskets,deal_baskets,first_coupon_day,last_coupon_day,coupon_redemptions,redeemed_campaigns,coupon_user_flag,coupon_dependency_ratio,deal_dependency_ratio,pre_90d_sales,post_30d_sales,post_30d_baskets,post_60d_sales,post_60d_baskets,post_90d_sales,post_90d_baskets,full_price_post_90d_sales,deal_post_90d_sales,available_post_days,post_coupon_repeat_flag,full_price_after_coupon_flag,deal_only_after_coupon_flag,post_90d_incremental_vs_pre_90d,subsidy_efficiency,segment,recency_days,frequency_baskets,monetary_sales,avg_basket_value,deal_strategy_recommendation
104,6546.74,128,115,112,711,206.81,1754.68,437.92,4380.63,30.0,107,586.0,614.0,4.0,2.0,True,0.066891,0.669132,395.19,676.73,8.0,1470.9,17.0,2281.54,30.0,770.38,1511.16,125.0,True,True,False,1886.35,9.121174,Champions,0,128,6546.74,51.146406,Keep Deal
1764,11412.2,135,103,110,707,90.33,1592.57,192.08,5618.06,22.0,127,528.0,596.0,9.0,2.0,True,0.016831,0.492285,1397.76,870.69,13.0,1803.0,28.0,2917.81,43.0,1467.7,1450.11,183.0,True,True,False,1520.05,16.827743,Loyal Customers,4,135,11412.2,84.534815,Keep Deal
1566,10567.71,347,231,95,709,24.1,1143.24,44.57,4654.1,13.0,290,597.0,630.0,4.0,2.0,True,0.004218,0.440408,2238.72,989.42,30.0,2176.83,73.0,3273.14,105.0,1802.81,1470.33,114.0,True,True,False,1034.42,42.921992,Champions,2,347,10567.71,30.454496,Keep Deal
2130,6060.39,97,85,104,705,227.72,1231.26,454.91,3032.55,23.0,79,528.0,619.0,15.0,2.0,True,0.075063,0.500389,730.4,198.73,7.0,808.77,15.0,1538.46,23.0,643.38,895.08,183.0,True,True,False,808.06,3.548481,Big Spenders,6,97,6060.39,62.478247,Keep Deal
709,5536.4,156,147,46,706,15.8,1553.48,19.4,2580.26,9.0,147,617.0,617.0,1.0,1.0,True,0.003504,0.466054,356.4,359.64,8.0,785.66,16.0,1095.88,23.0,545.76,550.12,94.0,True,True,False,739.48,46.802532,Loyal Customers,5,156,5536.4,35.489744,Keep Deal
67,9618.9,227,189,103,709,287.89,2761.74,724.74,5826.2,72.0,202,431.0,691.0,33.0,7.0,True,0.075345,0.605703,594.84,281.02,3.0,622.54,11.0,1328.52,25.0,481.53,846.99,280.0,True,True,False,733.68,2.548473,Champions,2,227,9618.9,42.374009,Keep Deal
788,7514.2,295,182,63,709,98.7,2120.37,196.48,4452.79,33.0,233,227.0,685.0,10.0,3.0,True,0.026148,0.592583,838.84,864.1,23.0,1140.38,45.0,1562.92,60.0,722.23,840.69,484.0,True,True,False,724.08,7.33617,Champions,2,295,7514.2,25.471864,Keep Deal
1347,3360.34,131,109,63,706,10.75,398.33,27.15,1739.52,7.0,102,591.0,591.0,2.0,1.0,True,0.00808,0.517662,425.86,399.13,11.0,747.69,22.0,1133.91,33.0,573.19,560.72,120.0,True,True,False,708.05,65.865116,Loyal Customers,5,131,3360.34,25.65145,Keep Deal
437,5915.73,90,77,9,708,197.4,1150.35,574.07,3208.81,38.0,85,337.0,625.0,2.0,2.0,True,0.097041,0.54242,268.4,223.72,4.0,687.02,11.0,956.04,16.0,398.77,557.27,374.0,True,True,False,687.64,3.483485,Potential Loyalists,3,90,5915.73,65.730333,Keep Deal
920,5887.36,238,177,49,710,39.15,1110.19,61.68,3010.58,12.0,210,507.0,507.0,4.0,1.0,True,0.010477,0.511363,747.42,442.44,13.0,734.42,24.0,1426.33,36.0,720.05,706.28,204.0,True,True,False,678.91,17.341252,Champions,1,238,5887.36,24.736807,Keep Deal
