campaign,promotion_type,start_day,end_day,window_days,pre_start_day,pre_end_day,all_households,exposed_households,control_households,campaign_products,treatment_revenue,control_revenue,treatment_revenue_per_household,control_revenue_per_household,treatment_buyer_rate,control_buyer_rate,treatment_pre_revenue_per_household_scaled,control_pre_revenue_per_household_scaled,lift_pct,incremental_revenue,discount_investment,observed_roi,coupon_redeeming_households,coupon_redemption_rate,true_incremental_flag
18,TypeA,587,642,56,531,586,2500,1133,1367,35513,246148.4,104685.09,217.253663,76.580168,0.967343,0.787857,205.489541,68.671946,183.694418,4368.734038,54049.59,0.080828,214,0.188879,True
26,TypeA,224,264,41,183,223,2500,332,2168,3396,6725.73,22918.65,20.258223,10.571333,0.849398,0.612085,16.685964,8.77833,91.63357,590.713081,2198.5,0.268689,31,0.093373,True
19,TypeB,603,635,33,570,602,2500,130,2370,375,1537.63,1567.93,11.827923,0.661574,0.523077,0.04135,9.256692,0.649658,1687.846249,332.71097,201.67,1.649779,15,0.115385,True
30,TypeA,323,369,47,276,322,2500,361,2139,3205,7418.68,24674.17,20.55036,11.535376,0.858726,0.621786,19.173573,10.841089,78.150756,246.382375,1893.09,0.130148,36,0.099723,True
29,TypeB,281,334,54,227,280,2500,118,2382,689,1203.26,7799.37,10.197119,3.274295,0.711864,0.334173,8.05,2.792909,211.429469,196.556524,309.79,0.634483,13,0.110169,True
25,TypeB,659,691,33,626,658,2500,187,2313,826,2272.24,8210.81,12.151016,3.549853,0.839572,0.396022,10.716524,3.087121,242.296316,181.719045,980.93,0.185252,24,0.128342,True
16,TypeB,561,593,33,528,560,2500,188,2312,1025,560.99,1045.04,2.983989,0.452007,0.37234,0.084775,2.218351,0.451743,560.16453,143.890398,167.56,0.85874,19,0.101064,True
23,TypeB,646,684,39,607,645,2500,183,2317,767,2243.75,5876.53,12.260929,2.536267,0.765027,0.301683,10.88623,1.811049,383.424273,118.855114,667.19,0.178143,23,0.125683,True
12,TypeB,477,509,33,444,476,2500,170,2330,620,948.53,4856.94,5.579588,2.084524,0.788235,0.399571,4.828529,1.977146,167.667309,109.425794,227.72,0.480528,11,0.064706,True
20,TypeC,615,685,71,544,614,2500,244,2256,609,1342.73,3517.77,5.502992,1.559295,0.67623,0.278369,4.836844,1.309171,252.915327,101.509716,202.98,0.500097,20,0.081967,True
15,TypeC,547,708,162,385,546,2500,17,2483,55,418.73,589.4,24.631176,0.237374,0.588235,0.015707,20.277059,0.138445,10276.52039,72.338212,10.39,6.962292,2,0.117647,True
22,TypeB,624,656,33,591,623,2500,276,2224,1917,1997.66,5454.44,7.237899,2.452536,0.735507,0.36286,7.055978,2.395013,195.118956,34.333795,698.65,0.049143,17,0.061594,True
5,TypeB,377,411,35,342,376,2500,166,2334,443,1003.37,824.54,6.044398,0.353273,0.240964,0.03042,5.950241,0.463256,1610.969022,33.887155,158.48,0.213826,8,0.048193,True
3,TypeC,356,412,57,299,355,2500,12,2488,506,50.03,4368.56,4.169167,1.755852,0.666667,0.318328,2.101667,1.772717,137.44407,25.012379,9.9,2.526503,2,0.166667,True
